id,scheme_name,category,english,hindi,punjabi,source_url
20,AHIDF (Animal Husbandry Infrastructure Development Fund),animal_husbandry,Credit support for private investment in animal husbandry infrastructure and supply chain.,पशुपालन अवसंरचना व सप्लाई-चेन में निजी निवेश के लिए क्रेडिट समर्थन।,ਪਸ਼ੂਪਾਲਨ ਢਾਂਚੇ ਅਤੇ ਸਪਲਾਈ ਚੇਨ ਵਿੱਚ ਨਿੱਜੀ ਨਿਵੇਸ਼ ਲਈ ਕਰੈਡਿਟ ਸਹਾਇਤਾ।,https://dahd.gov.in/
21,National Livestock Mission (NLM),livestock,"Support for livestock development, fodder, breeding and extension services.","पशु विकास, चारा, प्रजनन और विस्तार सेवाओं के लिए समर्थन।","ਪਸ਼ੂ ਵਿਕਾਸ, ਚਾਰਾ, ਪ੍ਰਜਨਨ ਅਤੇ ਵਿਸਤਾਰ ਸੇਵਾਵਾਂ ਲਈ ਸਹਾਇਤਾ।",https://dahd.gov.in/
22,NBHM (National Beekeeping & Honey Mission),beekeeping,Promotes beekeeping & honey value chain to increase farmer incomes and pollination services.,मधु एवं मधुमक्खी पालन को बढ़ावा कर किसानों की आय और परागण सेवाएँ बढ़ाना।,ਮਧੁ ਅਤੇ ਮਧੁਮੱਖੀ ਪਾਲਣ ਨੂੰ فروغ ਦਿੰਦੇ ਹੋਏ ਕਿਸਾਨਾਂ ਦੀ ਆਮਦਨ ਅਤੇ ਪਰਾਗਣ ਸੇਵਾਵਾਂ ਵਧਾਉਣਾ।,https://nbm.da.gov.in/
23,PMFME (Pradhan Mantri Formalisation of Micro Food Processing Enterprises),food_processing,Grant and credit support to formalise and scale micro food-processing units and FPOs.,सूक्ष्म खाद्य प्रसंस्करण इकाइयों/एफपीओ को औपचारिक बनाने व बढ़ाने के लिए अनुदान/ऋण।,ਸੂਛਮ ਫ਼ੂਡ ਪ੍ਰੋਸੈਸਿੰਗ ਯੂਨਿਟਾਂ ਅਤੇ FPOs ਨੂਂ ਆਧਿਕਾਰਿਕ ਕਰਨ ਅਤੇ ਵਧਾਉਣ ਲਈ ਗ੍ਰਾਂਟ/ਕਰਜ਼ਾ ਸਹਾਇਤਾ।,https://sampada-mofpi.gov.in/
24,ISAM (Integrated Scheme for Agricultural Marketing),agri_marketing,"Supports modernization of markets, infrastructure & e-marketing linkages for farmers.","मंडियों के आधुनिकीकरण, अवसंरचना व ई-मार्केटिंग से जोडऩे के लिए समर्थन।","ਮੰਡੀਆਂ ਦੇ ਆਧੁਨਿਕਣ, ਢਾਂਚੇ ਅਤੇ ਈ-ਬਜ਼ਾਰ ਲਿੰਕਿੰਗ ਲਈ ਸਹਾਇਤਾ।",https://agriwelfare.gov.in/
25,ATMA (Agricultural Technology Management Agency),extension_reform,State-level extension reform to strengthen farmer advisory and demand-driven services.,किसानों के परामर्श व मांग-आधारित सेवाओं को मजबूत करने के लिए कृषि विस्तार सुधार।,ਕਿਸਾਨੀ ਸਲਾਹਕਾਰ ਤੇ ਮੰਗ ਅਧਾਰਤ ਸੇਵਾਵਾਂ ਨੂੰ ਮਜ਼ਬੂਤ ਕਰਨ ਲਈ ਰਾਜ ਪੱਧਰੀ ਐਕਸਟੇੰਸ਼ਨ ਸੁਧਾਰ।,https://agriwelfare.gov.in/
26,Kisan Call Centre (Kisan Helpline 1551),advisory_helpline,Toll-free helpline (1551/1800-180-1551) providing crop & advisory support to farmers in multiple languages.,टोल-फ्री हेल्पलाइन (1551) पर बहुभाषी कृषि सलाह और जानकारी उपलब्ध।,ਟੋਲ-ਫਰੀ ਹੈਲਪਲਾਈਨ (1551) 'ਤੇ ਬਹੁਭਾਸ਼ੀ ਕਿਸਾਨੀ ਸਲਾਹ ਤੇ ਜਾਣਕਾਰੀ ਮੁਹੱਈਆ।,https://mkisan.gov.in/
27,PMGSY (Pradhan Mantri Gram Sadak Yojana),rural_infra,Provides all-weather road connectivity to unconnected rural habitations.,"अविकसित ग्रामीण आबादी के लिए चौड़ी, सभी मौसम में सड़कों की कनेक्टिविटी।",ਅਣਜੁੜੇ ਗ੍ਰਾਮੀਣ ਜ਼ਿਲਿਆਂ ਨੂੰ ਸਾਰੀਆਂ ਮੌਸਮਾਂ ਵਿੱਚ ਚੱਲਣਯੋਗ ਸੜਕਾਂ ਦੀ ਕਨੈਕਟਿਵਿਟੀ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ।,https://pmgsy.nic.in/
28,Jal Jeevan Mission (JJM),rural_water,Provides functional household tap connections (FHTCs) to rural households for potable water.,ग्रामीण घरों को पियाने योग्य पानी के लिए कार्यशील टोंटी कनेक्शन मुहैया कराना।,ਗ੍ਰਾਮੀਣ ਘਰਾਂ ਨੂੰ ਪੀਣਯੋਗ ਪਾਣੀ ਲਈ ਕਾਰਗਰ ਟੈਪ ਕਨੈਕਸ਼ਨ ਪ੍ਰਦਾਨ ਕਰਨਾ।,https://jaljeevanmission.gov.in/
29,Swachh Bharat Mission Gramin (SBM-G),sanitation,Sanitation & ODF-Plus activities to sustain cleanliness in rural areas.,ग्रामीण क्षेत्रों में स्वच्छता और ODF-Plus कार्यक्रमों को लागू करना।,ਗ੍ਰਾਮੀਣ ਇਲਾਕਿਆਂ ਵਿੱਚ ਸਫਾਈ ਅਤੇ ODF-ਪਲੱਸ ਕਾਰਜਾਂ ਰਾਹੀਂ ਸਫਾਈ ਬਰਕਰਾਰ ਰੱਖਣਾ।,https://swachhbharatmission.ddws.gov.in/
30,PMUY (Pradhan Mantri Ujjwala Yojana),clean_fuel,Provides LPG connections to women from poor households to reduce indoor pollution.,गरीब परिवारों की महिलाओं को LPG कनेक्शन देकर घर में प्रदूषण कम करना।,ਗਰੀਬ ਘਰਾਂ ਦੀਆਂ ਮਹਿਲਾਵਾਂ ਨੂੰ LPG ਕਨੈਕਸ਼ਨ ਦੇ ਕੇ ਘਰੇਲੂ ਪ੍ਰਦੂਸ਼ਣ ਘਟਾਉਣਾ।,https://pmuy.gov.in/
31,PMKVY (Pradhan Mantri Kaushal Vikas Yojana),skill_development,Short-term skill training & certification to improve employability of youth.,युवाओं की रोजगार-पात्रता बढ़ाने के लिए लघु अवधि कौशल प्रशिक्षण व प्रमाणन।,ਯੁਵਾਂ ਦੀ ਰੋਜ਼ਗਾਰ ਯੋਗਤਾ ਵਧਾਉਣ ਲਈ ਛੋਟੇ ਲੰਬੇ ਦੋਰ ਦੇ ਹੁਨਰ ਟਰੇਨਿੰਗ ਅਤੇ ਪ੍ਰਮਾਣਨ।,https://www.msde.gov.in/
32,Ayushman Bharat (PM-JAY),health_insurance,Health assurance scheme offering up to ₹5 lakh cashless hospitalization cover for eligible families.,पात्र परिवारों के लिए प्रति परिवार तक ₹5 लाख तक का कैशलेस अस्पताल कवरेज।,ਪਾਤਰ ਪਰਿਵਾਰਾਂ ਲਈ ਪ੍ਰਤੀ ਪਰਿਵਾਰ ₹5 ਲੱਖ ਤੱਕ ਕੈਸ਼ਲੈਸ ਹਸਪਤਾਲੀ ਇਲਾਜ ਕਵਰੇਜ।,https://nha.gov.in/
33,PMSBY (Pradhan Mantri Suraksha Bima Yojana),social_insurance,Affordable accidental insurance cover (small annual premium) through bank accounts.,बैंक खातों के माध्यम से सस्ती दुर्घटना बीमा कवरेज (वार्षिक छोटा प्रीमियम)।,ਬੈਂਕ ਖਾਤਿਆਂ ਰਾਹੀਂ ਸਸਤੀ ਦੁਰਘਟਨਾ ਬੀਮਾ ਕਵਰੇਜ (ਛੋਟਾ ਸਾਲਾਨਾ ਪ੍ਰੀਮੀਅਮ)।,https://financialservices.gov.in/
34,PMJJBY (Pradhan Mantri Jeevan Jyoti Bima Yojana),life_insurance,Term life insurance cover through bank accounts at a low premium for eligible account holders.,पात्र बैंक खाताधारकों के लिए कम प्रीमियम पर जीवन बीमा कवरेज।,ਪਾਤਰ ਬੈਂਕ ਖਾਤਾਧਾਰਕਾਂ ਲਈ ਘੱਟ ਪ੍ਰੀਮੀਅਮ 'ਤੇ ਲਾਈਫ ਇਨਸ਼ੋਰੈਂਸ ਕਵਰੇਜ।,https://financialservices.gov.in/
35,Atal Pension Yojana (APY),pension_scheme,Pension scheme for unorganised sector workers with guaranteed monthly pension after retirement.,असंगठित क्षेत्र के श्रमिकों के लिए पुरानी आयु में सुनिश्चित मासिक पेंशन।,ਅਸੰਗਠਤ ਖੇਤਰ ਦੇ ਕੰਮ ਕਰਨ ਵਾਲਿਆਂ ਲਈ ਰਿਟਾਇਰਮੈਂਟ 'ਤੇ ਗਾਰੰਟੀ ਕੀਤੀ ਮਹੀਨਾਵਾਰ ਪੈਨਸ਼ਨ।,https://npscra.nsdl.co.in/
36,DAY-NRLM (Deendayal Antyodaya - National Rural Livelihoods Mission),rural_livelihoods,"Promotes self-help groups (SHGs), FPOs and livelihood activities for rural poor.","स्व-सहायता समूह (SHG), एफपीओ और ग्रामीण लोगों के आजीविका सशक्तिकरण को बढ़ावा।","ਸਵ-ਮਦਦ ਗਰੁੱਪਾਂ (SHG), FPOs ਅਤੇ ਗ੍ਰਾਮੀਣ ਲੋਕਾਂ ਦੀ ਆਰਜ਼ੀਵਿਕਾ ਨੂੰ ਮਜ਼ਬੂਤ ਕਰਨ ਲਈ।",https://aajeevika.gov.in/
37,ODOP (One District One Product),entrepreneurship,"District-centred production, branding and marketing support for one selected product to boost local economies.","प्रत्येक जिले के चुने हुए उत्पाद के लिए उत्पादन, ब्रांडिंग व विपणन सहायता।","ਹਰੇਕ ਜ਼ਿਲੇ ਲਈ ਇੱਕ ਚੁਣਿਆ ਹੋਇਆ ਉਤਪਾਦ—ਉਤਪਾਦਨ, ਬ੍ਰਾਂਡਿੰਗ ਅਤੇ ਮਾਰਕੀਟਿੰਗ ਸਹਾਇਤਾ।",https://odop.mofpi.gov.in/
38,Kisan Vikas Patra (KVP),savings_scheme,Post Office saving certificate with fixed maturity doubling principal over a period (investor savings product).,डाकघर बचत योजना—निश्चित अवधि पर राशि दोगुनी करने वाला बचत प्रमाणपत्र।,ਡਾਕਘਰ ਬਚਤ ਯੋਜਨਾ—ਮਿਆਦ ਪੂਰੀ ਹੋਣ 'ਤੇ ਰਕਮ ਦੋਗੁਣਾ ਹੋਣ ਵਾਲਾ ਬਚਤ ਸਰਟੀਫਿਕੇਟ।,https://www.indiapost.gov.in/
39,NHB (National Horticulture Board),horticulture_infra,"Implements schemes for hi-tech horticulture, cold chains and post-harvest infrastructure.","हाई-टेक बागवानी, कोल्ड-चेन और पोस्ट-हर्वेस्ट इंफ्रा के लिए योजनाएँ लागू करना।","ਹਾਈ-ਟੈਕ બાગਬਾਨੀ, ਕੋਲਡ-ਚੇਨ ਅਤੇ ਪੋਸਟ-ਹਾਰਵੇਸਟ ਢਾਂਚੇ ਲਈ ਯੋਜਨਾਵਾਂ ਲਾਗੂ ਕਰਨਾ।",https://nhb.gov.in/
40,PMMSY (Pradhan Mantri Matsya Sampada Yojana),fisheries,"Blue Revolution: modernise fisheries, aquaculture and value chains for fishers' income growth.",मत्स्य क्षेत्र के आधुनिकीकरण से मत्स्यकों की आय बढ़ाना (ब्लू रिवॉल्यूशन)।,ਮੱਛੀਗਿਰਿੜੀ ਖੇਤਰ ਨੂੰ ਆਧੁਨਿਕ ਕਰਕੇ ਮਛੀ ਮਾਲਕਾਂ ਦੀ ਆਮਦਨ ਵਧਾਉਣਾ (ਬਲੂ ਰਿਵਾਲਿਊਸ਼ਨ)।,https://nfdb.gov.in/
41,DIDF (Dairy Infrastructure Development Fund),dairy_infra,"Financing & interest support for milk processing, value addition & dairy infrastructure projects.","दूध प्रसंस्करण, मूल्य संवर्धन व डेयरी इन्फ्रा के लिए वित्तपोषण और ब्याज सहायता।","ਦੂਧ ਪ੍ਰੋਸੈਸਿੰਗ, ਵੈਲ੍ਯੂ ਐਡੀਸ਼ਨ ਅਤੇ ਡੇਅਰੀ ਢਾਂਚੇ ਲਈ ਫੰਡ ਅਤੇ ਸੂਧ ਸਹਾਇਤਾ।",https://dahd.gov.in/schemes/programmes/didf
42,NABARD schemes (refinance & rural credit),rural_finance,"Refinance, credit support and developmental programmes for agriculture & rural sectors by NABARD.",कृषि व ग्रामीण क्षेत्र के लिए NABARD द्वारा रिफ़ाइनैंस व क्रेडिट समर्थन।,ਕਿਸਾਨੀ ਅਤੇ ਗ੍ਰਾਮੀਣ ਖੇਤਰ ਲਈ NABARD ਵਲੋਂ ਰੀਫਾਇਨੈਂਸ ਅਤੇ ਕਰੈਡਿਟ ਸਹਾਇਤਾ।,https://www.nabard.org/
43,National Seed Mission (NSM),seed_security,Ensures production and timely availability of quality seeds and seed infrastructure.,गुणवत्ता बीजों का उत्पादन और समय पर आपूर्ति सुनिश्चित करना।,ਉੱਚ ਗੁਣਵੱਤਾ ਵਾਲੇ ਬੀਜਾਂ ਦੀ ਉਤਪਾਦਨ ਅਤੇ ਸਮੇਂ-ਸਿਰ ਉਪਲਬਧਤਾ ਯਕੀਨੀ ਬਣਾਉਣਾ।,https://seednet.gov.in/
44,National Bamboo Mission (NBM),bamboo_development,"Supports bamboo cultivation, processing and value chain development for rural livelihoods.","बांस की खेती, प्रसंस्करण व वैल्यू-चेन विकास से ग्रामीण आजीविका सशक्त करना।","ਬੈਂਬੂ ਖੇਤੀ, ਪ੍ਰੋਸੈਸਿੰਗ ਅਤੇ ਵੈਲਯੂ-ਚੇਨ ਵਿਕਾਸ ਰਾਹੀਂ ਗ੍ਰਾਮੀਣ ਰੋਜ਼ਗਾਰ ਨੂੰ ਮਜ਼ਬੂਤ ਕਰਨਾ।",https://nbm.da.gov.in/
45,SMAF (Sub-Mission on Agroforestry),agroforestry,"Promotes agroforestry systems, nurseries and planting material to increase on-farm tree cover.",कृषि भूमि पर वृक्षारोपण व नर्सरी/बुवाई सामग्री के माध्यम से कृषि-वन संलयन को बढ़ावा।,"ਖੇਤਾਂ 'ਤੇ ਰੁੱਖ ਲਗਾਉਣ, ਨਰਸਰੀਆਂ ਅਤੇ ਪੌਦੇ ਸਮੱਗਰੀ ਰਾਹੀਂ ਐਗਰੋਫ਼ਾਰੈਸਟਰੀ ਨੂੰ فروغ।",https://nmsa.dac.gov.in/
46,Kisan Sampada Yojana (PM Kisan SAMPADA),food_processing,Incentives for creation of modern infrastructure and efficient supply chains in food processing.,खाद्य प्रसंस्करण में आधुनिक इन्फ्रास्ट्रकचर और सप्लाई-चैन के लिए प्रोत्साहन।,ਖਾਦ-ਪ੍ਰੋਸੈਸਿੰਗ ਵਿੱਚ ਆਧੁਨਿਕ ਢਾਂਚੇ ਅਤੇ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਸਪਲਾਈ-ਚੇਨ ਲਈ ਪਰੋਤਸਾਹਨ।,https://mofpi.gov.in/
47,IWMP / WDC-PMKSY (Integrated Watershed Management Programme),watershed,"Watershed development to restore degraded lands, conserve soil & water for livelihoods.","क्षरणग्रस्त भूमियों की बहाली, मिट्टी व जल संरक्षण और आजीविका के लिए वाटरशेड विकास।","ਖਰਾਬ ਹੋਈ ਜ਼ਮੀਨਾਂ ਦੀ ਬਹਾਲੀ, ਮਿੱਟੀ ਅਤੇ ਪਾਣੀ ਦੀ ਸੰਭਾਲ ਅਤੇ ਰੋਜ਼ੀ-ਰੋਟੀ ਲਈ ਵਾਟਰਸ਼ੈਡ ਵਿਕਾਸ।",https://iwmpmis.nic.in/
48,NFDB (National Fisheries Development Board),fisheries_development,Coordinates fisheries development programmes and implements PMMSY projects.,मत्स्य विकास कार्यक्रमों का समन्वय और PMMSY परियोजनाओं का क्रियान्वयन।,ਮੱਛੀਗਿਰਿੜੀ ਵਿਕਾਸ ਪ੍ਰੋਗਰਾਮਾਂ ਦਾ ਸਹਿ-ਨਿਯੰਤਰਣ ਅਤੇ PMMSY ਪ੍ਰੋਜੈਕਟਾਂ ਨੂੰ ਲਾਗੂ ਕਰਨਾ।,https://nfdb.gov.in/
49,Micro Irrigation Fund (MIF),water_efficiency,Fund to expand micro-irrigation (drip/sprinkler) adoption and improve water use efficiency.,माइक्रो-इरिगेशन (ड्रिप/स्प्रिंकलर) के प्रसार के लिए फंड; जल उपयोग दक्षता बढ़ाना।,ਮਾਈਕ੍ਰੋ-ਸਿੰਚਾਈ (ਡ੍ਰਿਪ/ਸਪ੍ਰਿੰਕਲਰ) ਦਿਆਪਤੀ ਲਈ ਫੰਡ; ਪਾਣੀ ਵਰਤੋਂ ਦੱਖਲ ਵਧਾਉਣਾ।,https://pmksy.gov.in/microirrigation/index.aspx
50,SMAM (Sub-Mission on Agricultural Mechanization),farm_mechanization,"Promotes farm mechanization (custom hiring centers, machinery banks) for small & marginal farmers.",छोटे/सीमांत किसानों के लिए कृषि यंत्रीकरण—कस्टम हायरिंग सेंटर व मशीनरी बैंक।,"ਛੋਟੇ ਅਤੇ ਸੀਮਾਂਤ ਕਿਸਾਨਾਂ ਲਈ ਖੇਤੀ ਮशीਨੀਕਰਨ (ਕਸਟਮ ਹਾਇਰਿੰਗ ਸੈਂਟਰ, ਮਸ਼ੀਨਰੀ ਬੈਂਕ) ਨੂੰ فروغ।",https://agrimachinery.nic.in/
